"Nombre","Tama?o_KB","Ultimo_Giro","Estado","Bot_Asignado"
"voyager_core_cloud.py","1","31/01/2026 16:34:55","ACTIVO","N?cleo"
"__init__.py","0,73","31/01/2026 15:53:51","ACTIVO","N?cleo"
"conftest.py","1,18","31/01/2026 18:44:55","ACTIVO","N?cleo"
"test_async_generator.py","27,28","31/01/2026 18:44:55","ACTIVO","N?cleo"
"test_util.py","6,22","31/01/2026 18:44:55","ACTIVO","N?cleo"
"__init__.py","0","31/01/2026 18:44:55","VAC?O","N?cleo"
"_impl.py","15,73","31/01/2026 18:44:55","ACTIVO","N?cleo"
"_util.py","4,26","31/01/2026 18:44:55","ACTIVO","N?cleo"
"_version.py","0,02","31/01/2026 18:44:55","ACTIVO","N?cleo"
"__init__.py","0,44","31/01/2026 18:44:55","ACTIVO","N?cleo"
"converters.py","3,77","31/01/2026 18:44:55","ACTIVO","N?cleo"
"exceptions.py","1,93","31/01/2026 18:44:55","ACTIVO","N?cleo"
"filters.py","1,75","31/01/2026 18:44:55","ACTIVO","N?cleo"
"setters.py","1,58","31/01/2026 18:44:55","ACTIVO","N?cleo"
"validators.py","20,96","31/01/2026 18:44:55","ACTIVO","N?cleo"
"_cmp.py","4,02","31/01/2026 18:44:55","ACTIVO","N?cleo"
"_compat.py","2,76","31/01/2026 18:44:55","ACTIVO","N?cleo"
"_config.py","0,82","31/01/2026 18:44:55","ACTIVO","N?cleo"
"_funcs.py","16,09","31/01/2026 18:44:55","ACTIVO","N?cleo"
"_make.py","101,7","31/01/2026 18:44:55","ACTIVO","N?cleo"
"_next_gen.py","25,66","31/01/2026 18:44:55","ACTIVO","N?cleo"
"_version_info.py","2,17","31/01/2026 18:44:55","ACTIVO","N?cleo"
"__init__.py","2,01","31/01/2026 18:44:55","ACTIVO","N?cleo"
"converters.py","0,07","31/01/2026 18:44:55","ACTIVO","N?cleo"
"exceptions.py","0,07","31/01/2026 18:44:55","ACTIVO","N?cleo"
"filters.py","0,07","31/01/2026 18:44:55","ACTIVO","N?cleo"
"setters.py","0,07","31/01/2026 18:44:55","ACTIVO","N?cleo"
"validators.py","0,07","31/01/2026 18:44:55","ACTIVO","N?cleo"
"__init__.py","1,16","31/01/2026 18:44:55","ACTIVO","N?cleo"
"_html5lib.py","23,05","31/01/2026 18:25:40","ACTIVO","N?cleo"
"_htmlparser.py","17,04","31/01/2026 18:25:40","ACTIVO","N?cleo"
"_lxml.py","18,52","31/01/2026 18:25:40","ACTIVO","N?cleo"
"__init__.py","30,46","31/01/2026 18:25:40","ACTIVO","N?cleo"
"css.py","12,42","31/01/2026 18:25:40","ACTIVO","N?cleo"
"dammit.py","55,69","31/01/2026 18:25:40","ACTIVO","N?cleo"
"diagnose.py","7,66","31/01/2026 18:25:40","ACTIVO","N?cleo"
"element.py","117,42","31/01/2026 18:25:40","ACTIVO","N?cleo"
"exceptions.py","0,93","31/01/2026 18:25:40","ACTIVO","N?cleo"
"filter.py","28,52","31/01/2026 18:25:40","ACTIVO","N?cleo"
"formatter.py","10,23","31/01/2026 18:25:40","ACTIVO","N?cleo"
